epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,15547,1.83055,1.07163,1.0118,0.75455,0.59911,0.68155,0.32217,1.69814,0.96779,0.9774,0.005644,0.005644,0.005644
90,15721,1.83988,1.08117,1.00972,0.75639,0.59832,0.68199,0.32246,1.69758,0.96723,0.97641,0.0055945,0.0055945,0.0055945
91,15896.3,1.81111,1.06272,1.00416,0.7655,0.59475,0.68364,0.32246,1.69664,0.96672,0.97641,0.005545,0.005545,0.005545
92,16069.3,1.81806,1.06368,1.01279,0.76075,0.59947,0.68313,0.32335,1.693,0.96414,0.97565,0.0054955,0.0054955,0.0054955
93,16242,1.82074,1.07849,1.01317,0.76384,0.59646,0.68381,0.32532,1.69305,0.96416,0.9762,0.005446,0.005446,0.005446
94,16416,1.81383,1.07302,1.01079,0.76045,0.60019,0.68364,0.32481,1.69263,0.96162,0.97501,0.0053965,0.0053965,0.0053965
95,16590.1,1.8112,1.07223,1.00632,0.76263,0.59614,0.68304,0.32406,1.69605,0.96089,0.97513,0.005347,0.005347,0.005347
96,16763.4,1.81487,1.07494,1.00759,0.75987,0.59639,0.68302,0.32459,1.69276,0.95955,0.97457,0.0052975,0.0052975,0.0052975
97,16937.4,1.82199,1.0813,1.00535,0.76453,0.59768,0.68354,0.3257,1.69156,0.95997,0.97522,0.005248,0.005248,0.005248
98,17111.6,1.79914,1.05125,1.00814,0.76467,0.59646,0.68318,0.32503,1.68984,0.95948,0.97451,0.0051985,0.0051985,0.0051985
99,17285.2,1.80305,1.05487,1.00741,0.765,0.5926,0.68057,0.32459,1.69178,0.96048,0.97578,0.005149,0.005149,0.005149
100,17459.5,1.80985,1.05748,1.00616,0.76679,0.59496,0.68407,0.32553,1.68995,0.95877,0.97549,0.0050995,0.0050995,0.0050995
101,17634,1.79202,1.05073,1.0051,0.7644,0.60062,0.68458,0.32632,1.68974,0.96138,0.97597,0.00505,0.00505,0.00505
102,17808.1,1.78871,1.05285,1.01028,0.76308,0.60087,0.68536,0.3263,1.68824,0.96031,0.97577,0.0050005,0.0050005,0.0050005
103,17982.8,1.81136,1.05503,1.0043,0.76875,0.60112,0.68698,0.32729,1.68765,0.95808,0.97554,0.004951,0.004951,0.004951
104,18156.6,1.80473,1.05471,1.00249,0.77212,0.59782,0.68519,0.3257,1.68921,0.95797,0.97574,0.0049015,0.0049015,0.0049015
105,18329.8,1.79033,1.04036,1.00493,0.76969,0.59725,0.68428,0.32619,1.69156,0.95825,0.97627,0.004852,0.004852,0.004852
106,18502.4,1.77527,1.03593,1.00257,0.76702,0.59839,0.68425,0.32615,1.6912,0.95611,0.97564,0.0048025,0.0048025,0.0048025
107,18677.5,1.79836,1.04817,1.00208,0.76108,0.60362,0.68532,0.32589,1.68685,0.95508,0.97404,0.004753,0.004753,0.004753
108,18852.6,1.79729,1.04002,1.00208,0.76688,0.60194,0.68624,0.32711,1.68725,0.95235,0.97427,0.0047035,0.0047035,0.0047035
109,19026.8,1.80676,1.04654,1.00525,0.76625,0.60356,0.68671,0.32668,1.68609,0.95128,0.97425,0.004654,0.004654,0.004654
110,19202.1,1.79794,1.04468,1.00121,0.76522,0.60664,0.68861,0.32726,1.68311,0.95272,0.97338,0.0046045,0.0046045,0.0046045
111,19376.7,1.78242,1.03683,1.00046,0.76524,0.60427,0.68813,0.32708,1.68323,0.95066,0.9736,0.004555,0.004555,0.004555
112,19550.8,1.78478,1.03629,1.00794,0.76472,0.60548,0.68764,0.32656,1.68496,0.95081,0.97392,0.0045055,0.0045055,0.0045055
113,19725.5,1.79115,1.04074,0.99924,0.76867,0.60613,0.68911,0.32728,1.68485,0.95108,0.97348,0.004456,0.004456,0.004456
114,19899.5,1.788,1.03458,1.00499,0.7636,0.60734,0.68882,0.3281,1.68516,0.94948,0.97273,0.0044065,0.0044065,0.0044065
115,20073.9,1.77163,1.02577,1,0.76545,0.60671,0.68954,0.32805,1.68514,0.95011,0.97269,0.004357,0.004357,0.004357
116,20249.4,1.76497,1.01724,1.00407,0.76496,0.60949,0.69138,0.32864,1.6858,0.95085,0.97239,0.0043075,0.0043075,0.0043075
117,20424.9,1.77343,1.0202,0.99798,0.76668,0.6072,0.69066,0.32807,1.68768,0.94997,0.97304,0.004258,0.004258,0.004258
118,20600.4,1.76643,1.02559,0.99634,0.76724,0.60641,0.68948,0.32824,1.68848,0.94886,0.97309,0.0042085,0.0042085,0.0042085
119,20774.8,1.77406,1.02595,0.99593,0.76745,0.60641,0.68996,0.32751,1.68913,0.94826,0.97302,0.004159,0.004159,0.004159
120,20949.7,1.77312,1.02931,1.00005,0.76818,0.60584,0.69013,0.32796,1.68828,0.94687,0.97324,0.0041095,0.0041095,0.0041095
121,21124.4,1.77269,1.02425,0.99821,0.7671,0.60621,0.69029,0.32816,1.68776,0.94549,0.97294,0.00406,0.00406,0.00406
122,21301.7,1.78541,1.01966,1.00057,0.76672,0.60613,0.69054,0.32845,1.6872,0.9471,0.97276,0.0040105,0.0040105,0.0040105
123,21476.6,1.75615,1.01467,0.99419,0.76339,0.60652,0.69009,0.32876,1.68714,0.94704,0.97299,0.003961,0.003961,0.003961
124,21650.8,1.75776,1.00525,0.99172,0.76738,0.60412,0.68949,0.32813,1.68773,0.94654,0.97354,0.0039115,0.0039115,0.0039115
125,21825.4,1.7544,1.00974,1.00089,0.76959,0.60231,0.69017,0.32826,1.68782,0.94687,0.97379,0.003862,0.003862,0.003862
126,22000.1,1.76302,1.01328,0.9937,0.76961,0.60248,0.68992,0.32883,1.68574,0.94589,0.97319,0.0038125,0.0038125,0.0038125
127,22176,1.77242,1.01464,0.98852,0.7735,0.60112,0.69056,0.32858,1.68616,0.94587,0.97354,0.003763,0.003763,0.003763
128,22351.7,1.77268,1.02303,0.99806,0.77249,0.6042,0.69183,0.329,1.68519,0.94613,0.97319,0.0037135,0.0037135,0.0037135
129,22526.1,1.75516,1.00472,0.99138,0.77207,0.6062,0.69304,0.3294,1.68413,0.94547,0.97278,0.003664,0.003664,0.003664
130,22700.8,1.76696,1.01086,0.99348,0.76908,0.60756,0.69253,0.32994,1.68276,0.94498,0.97292,0.0036145,0.0036145,0.0036145
131,22874.7,1.74119,0.99121,0.98911,0.77072,0.60806,0.69383,0.3302,1.68296,0.94318,0.97288,0.003565,0.003565,0.003565
132,23049.9,1.74802,1.00014,0.99571,0.76798,0.61021,0.69423,0.33018,1.68307,0.943,0.97348,0.0035155,0.0035155,0.0035155
133,23224.5,1.76753,1.00756,0.99349,0.76836,0.60863,0.69281,0.32999,1.683,0.9425,0.97337,0.003466,0.003466,0.003466
134,23399.3,1.73531,0.98654,0.99024,0.77062,0.60703,0.69336,0.32964,1.68326,0.94245,0.97329,0.0034165,0.0034165,0.0034165
135,23573.4,1.72025,0.97853,0.99015,0.76994,0.60805,0.69285,0.32934,1.68313,0.9422,0.97314,0.003367,0.003367,0.003367
136,23748.2,1.74472,0.99302,0.99436,0.77244,0.60748,0.69339,0.32952,1.68211,0.94069,0.9727,0.0033175,0.0033175,0.0033175
137,23922.5,1.75528,1.004,0.98945,0.77305,0.60656,0.69281,0.32962,1.68266,0.93963,0.97291,0.003268,0.003268,0.003268
138,24096.8,1.75013,0.98971,0.99271,0.7681,0.60844,0.69174,0.32902,1.68398,0.94022,0.97317,0.0032185,0.0032185,0.0032185
139,24271.8,1.74728,0.99505,0.98803,0.77154,0.60825,0.69276,0.32959,1.68367,0.9397,0.97307,0.003169,0.003169,0.003169
140,24446.3,1.72923,0.98757,0.9913,0.77082,0.60842,0.6928,0.32972,1.68371,0.93955,0.97312,0.0031195,0.0031195,0.0031195
141,24619.5,1.73492,0.98391,0.98479,0.7729,0.60677,0.69282,0.32999,1.6843,0.93919,0.97332,0.00307,0.00307,0.00307
